,0
2002-12-31,[[1.]]
2003-01-31,[[1.]]
2003-02-28,[[1.]]
2003-03-31,[[1.]]
2003-04-30,[[1.]]
2003-05-30,[[1.]]
2003-06-30,[[1.]]
2003-07-31,[[1.]]
2003-08-29,[[1.]]
2003-09-30,[[1.]]
2003-10-31,[[1.]]
2003-11-28,[[1.]]
2003-12-31,[[1.]]
